기준_년_코드,기준_분기_코드,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
131365,164,54327590711.0,3342076,4811,1698,1138,967,847,876,991,1215,488,46,500,1481,2298,1935,255,3180,3325,25,694,1201,1311,1500,1787,36934868582.0,17392722129.0,1153555564,4551046329.0,11520727161.0,16086985887.0,17096506817.0,3918768953,25782653377.0,27060547107.0,153799937,6836425200,11459012294.0,11397878558.0,13040268908.0,9955815584.0,2558874,783202,493771,498666,505513,510940,549984,457545,325657,157867,490341,559684,605078,1071653,457453,1772563,1552259,33602,839039,913155,594751,538266,406011
32336,40,1577540110.0,19909,1304,297,212,358,196,351,191,158,141,0,54,363,594,585,11,485,1116,1,40,199,679,434,251,1432649943.0,144890167.0,0,114801313.0,500242362.0,559234269.0,391101243.0,12160923,615312602.0,689813422.0,159573,13569533,177934217.0,448358668.0,314584799.0,350519231.0,15919,3990,2396,3632,3137,3949,2805,2453,1537,0,1168,4171,5761,8496,313,7832,8953,9,533,2586,4732,4037,4886
38399,46,2344209352.0,106561,1158,745,132,262,186,324,254,521,227,49,107,159,827,627,131,991,910,25,327,374,305,390,484,2055312700.0,288896652.0,91007116,98307126.0,82703019.0,629968382.0,1249282872.0,192940837,1803561152.0,539688759.0,6676251,186964415,258625881.0,387126762.0,136268802.0,1367587801.0,75077,31484,13889,15034,14890,15009,16255,15696,15788,11330,15014,12459,14891,28596,24271,72300,34238,1320,26330,33444,19531,15025,10887
34357,41,12168676049.0,374600,1416,284,257,240,306,309,309,167,120,46,278,346,440,452,143,883,819,0,127,224,292,695,364,11228312241.0,940363808.0,251733456,3039520966.0,3421148004.0,3477796705.0,1326656110.0,651820808,2097755578.0,1504840753.0,7186639,599884531,892364535.0,602856554.0,930830428.0,569473640.0,283501,91099,53755,55118,52825,61747,60056,47026,44073,30334,61687,58058,56765,94389,73367,204701,116956,1864,85326,108092,64066,43663,18646
109134,132,18890753928.0,1307187,3695,1712,751,871,772,567,738,860,855,98,879,1333,1378,1472,249,3149,2254,4,411,773,1068,1801,1357,12957711116.0,5933042812.0,1145253062,1596208479.0,4064281862.0,4117352658.0,5965042174.0,2002615693,9854744590.0,8322433482.0,35571837,3105120952,2732598211.0,3526330986.0,5435486736.0,3342069346.0,922251,384936,191183,167694,184027,179576,199771,206028,178908,133290,165180,182361,224975,401422,199959,781772,516238,5109,325767,262900,230671,316805,156749
38399,48,2214947462.0,230253,1449,452,223,427,290,234,281,267,184,54,167,317,302,885,177,939,961,4,173,192,528,293,712,1652778083.0,562169379.0,130036218,333813832.0,342983998.0,329730327.0,740677063.0,337706024,1309773317.0,885863876.0,7516748,366939808,430290286.0,545033798.0,426526659.0,419329896.0,170482,59771,33550,34914,33391,33570,35057,31107,28664,14829,37915,36680,37203,66901,36725,150292,78965,1689,53525,53112,54581,37163,29188
111155,136,22112199099.0,902418,4523,982,899,857,796,953,1025,737,256,2,876,1585,1592,1383,70,2796,2707,12,289,603,1195,1513,1904,17594548016.0,4517651083.0,15021961,4539180995.0,4899595521.0,6528765037.0,5642491543.0,487144042,9322971880.0,11518474171.0,13294016,1049559843,2509741502.0,3462256816.0,6601102923.0,7205490958.0,718360,184058,143685,136287,150289,140332,147767,118794,65264,614,168749,201664,242826,258978,29587,406968,475238,1302,67779,127188,158988,251163,275794
105092,133,46989878062.0,1878952,4281,921,928,981,645,845,889,625,301,13,840,1327,1908,1068,51,2568,2639,20,1013,1343,805,1167,865,39417495644.0,7572382418.0,256326213,7776755840.0,12634994954.0,18328821136.0,6993028159.0,999951760,18826567232.0,21726332072.0,139691860,7293405729,8985921371.0,6717298082.0,9022488428.0,8394093833.0,1537600,341352,290809,306544,305693,316825,317729,189309,152043,37570,486437,425310,354249,443461,131925,1144618,709754,26225,693948,576252,297929,184143,75885
26273,32,6859784833.0,441634,1222,78,99,232,85,428,380,44,35,30,103,379,425,296,67,873,427,7,268,216,442,337,31,6302897458.0,556887375.0,225738222,592765453.0,1739634992.0,2169686008.0,1658986145.0,472974013,5048656269.0,1648566572.0,54405553,1034726416,958734718.0,1812916752.0,2620803194.0,215636210.0,360919,80715,68184,69598,70216,75981,76940,44178,36537,28855,105615,89405,66819,95639,55301,294506,134964,10880,147876,120101,70882,56172,23555
109134,135,52415448013.0,2488567,4418,984,894,987,861,811,875,674,312,37,628,1523,1561,1501,161,2492,2913,18,506,817,1220,1451,1394,41696481372.0,10718966641.0,558605885,6655039195.0,14461372071.0,15412231137.0,12836269246.0,2491930479,23128045354.0,26233537269.0,174803143,4416604260,6465165866.0,12515243830.0,15824333915.0,9965431602.0,1972413,516154,400663,390618,389292,393741,398099,305396,210758,80065,421275,501936,514672,709270,261349,1266352,1142444,32588,468908,508392,567105,486557,345242
