"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설
"동별(1)",동별(2),동별(3),소계,소계,공영,공영,민영,민영,소계,소계,시영,시영,구영,구영,소계,소계,시영,시영,구영,구영,민영,민영,소계,소계,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물
"동별(1)",동별(2),동별(3),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수)
"합계",중랑구,면목7동,718,6729,33,327,685,6402,31,221,-,-,31,221,4,258,-,-,2,106,2,152,683,6250,333,952,190,3995,160,1303
"합계",중랑구,상봉1동,549,12135,16,176,533,11959,16,176,-,-,16,176,1,15,-,-,-,-,1,15,532,11944,266,716,149,9468,117,1760
"합계",중랑구,상봉2동,913,9438,34,486,879,8952,34,362,-,-,34,362,5,259,-,-,-,124,5,135,874,8817,320,868,211,2959,343,4990
"합계",중랑구,중화1동,667,4704,33,394,634,4310,31,264,-,-,31,264,2,130,-,-,2,130,-,-,634,4310,320,947,217,2492,97,871
"합계",중랑구,중화2동,919,7629,40,1463,879,6166,38,873,-,-,38,873,7,885,-,-,2,590,5,295,874,5871,495,1244,208,2632,171,1995
"합계",중랑구,묵1동,1114,13452,44,821,1070,12631,41,493,-,-,41,493,3,328,1,328,2,-,-,-,1070,12631,526,1579,368,9080,176,1972
"합계",중랑구,묵2동,882,6348,24,685,858,5663,23,685,-,-,23,685,1,-,-,-,1,-,-,-,858,5663,471,1135,197,3313,190,1215
"합계",중랑구,망우3동,850,4341,50,554,800,3787,45,310,-,-,45,310,8,343,-,-,5,244,3,99,797,3688,470,1200,199,1476,128,1012
"합계",중랑구,신내1동,498,15832,20,311,478,15521,19,311,-,-,19,311,4,107,-,-,1,-,3,107,475,15414,198,520,88,11715,189,3179
"합계",중랑구,신내2동,134,8220,7,296,127,7924,4,51,-,-,4,51,4,261,1,88,2,157,1,16,126,7908,88,130,10,6293,28,1485
"합계",중랑구,면목본동,1191,7704,63,747,1128,6957,59,542,-,-,59,542,9,290,-,-,4,205,5,85,1123,6872,533,1436,391,3806,199,1630
"합계",중랑구,면목3.8동,853,6586,49,609,804,5977,47,425,-,-,47,425,4,255,-,-,2,184,2,71,802,5906,446,1044,181,3184,175,1678
"합계",중랑구,망우본동,1110,12672,63,1113,1047,11559,57,652,-,-,57,652,14,879,-,-,6,461,8,418,1039,11141,505,1223,190,4879,344,5039
"합계",성북구,소계,13190,155093,226,6862,12964,148231,125,4732,1,26,124,4706,169,4359,1,21,100,2109,68,2229,12896,146002,6136,15178,3217,94328,3543,36496
"합계",성북구,돈암1동,92,6478,2,18,90,6460,2,18,-,-,2,18,-,-,-,-,-,-,-,-,90,6460,26,105,34,6015,30,340
"합계",성북구,돈암2동,81,8842,1,100,80,8742,-,-,-,-,-,-,3,278,-,-,1,100,2,178,78,8564,27,110,40,8301,11,153
"합계",성북구,안암동,871,9092,9,364,862,8728,8,357,-,-,8,357,2,58,-,-,1,7,1,51,861,8677,373,1021,114,1679,374,5977
"합계",성북구,보문동,611,5591,8,303,603,5288,5,277,-,-,5,277,6,168,-,-,3,26,3,142,600,5146,271,727,103,2896,226,1523
"합계",성북구,정릉1동,223,6658,7,186,216,6472,5,178,-,-,5,178,3,16,-,-,2,8,1,8,215,6464,66,128,80,6011,69,325
"합계",성북구,정릉2동,661,7362,9,265,652,7097,5,224,-,-,5,224,6,71,-,-,4,41,2,30,650,7067,202,887,347,5418,101,762
"합계",성북구,정릉3동,743,6426,16,351,727,6075,7,190,-,-,7,190,17,328,-,-,9,161,8,167,719,5908,373,1382,200,2096,146,2430
"합계",성북구,정릉4동,729,9638,8,229,721,9409,5,153,-,-,5,153,7,136,-,-,3,76,4,60,717,9349,256,591,298,7309,163,1449
"합계",성북구,길음1동,107,11052,3,20,104,11032,2,14,-,-,2,14,2,35,-,-,1,6,1,29,103,11003,33,60,24,10206,46,737
"합계",성북구,길음2동,264,6883,4,200,260,6683,2,41,-,-,2,41,7,838,-,-,2,159,5,679,255,6004,117,224,51,4177,87,1603
"합계",성북구,월곡1동,492,9788,16,377,476,9411,8,215,-,-,8,215,9,167,-,-,8,162,1,5,475,9406,211,404,88,7511,176,1491
"합계",성북구,월곡2동,746,7027,16,396,730,6631,11,252,-,-,11,252,10,299,-,-,5,144,5,155,725,6476,405,729,85,2508,235,3239
"합계",성북구,장위1동,932,5733,15,474,917,5259,3,284,-,-,3,284,14,231,-,-,12,190,2,41,915,5218,418,855,397,3314,100,1049
"합계",성북구,장위2동,768,4645,14,268,754,4377,7,127,-,-,7,127,11,219,-,-,7,141,4,78,750,4299,364,607,194,2739,192,953
"합계",성북구,장위3동,283,2433,7,301,276,2132,3,156,-,-,3,156,6,283,-,-,4,145,2,138,274,1994,132,259,63,926,79,809
"합계",성북구,성북동,1305,7425,24,594,1281,6831,16,459,1,26,15,433,13,203,-,-,8,135,5,68,1276,6763,776,2421,239,2288,261,2054
"합계",성북구,삼선동,947,8223,19,879,928,7344,9,472,-,-,9,472,17,521,-,-,10,407,7,114,921,7230,471,1100,165,3753,285,2377
"합계",성북구,동선동,940,7288,13,463,927,6825,8,420,-,-,8,420,10,111,-,-,5,43,5,68,922,6757,365,1011,168,2115,389,3631
"합계",성북구,종암동,1157,13690,18,532,1139,13158,9,420,-,-,9,420,13,173,1,21,8,91,4,61,1135,13097,542,1241,269,9620,324,2236
"합계",성북구,석관동,1238,10819,17,542,1221,10277,10,475,-,-,10,475,13,224,-,-,7,67,6,157,1215,10120,708,1316,258,5446,249,3358
"합계",강북구,소계,11231,93845,49,5146,11182,88699,23,3080,1,16,22,3064,48,2580,-,-,26,2066,22,514,11160,88185,5567,11491,3499,56993,2094,19701
"합계",강북구,번1동,1061,6454,2,438,1059,6016,1,253,-,-,1,253,3,244,-,-,1,185,2,59,1057,5957,660,1156,178,2305,219,2496
"합계",강북구,번2동,495,4289,3,369,492,3920,1,162,-,-,1,162,2,207,-,-,2,207,-,-,492,3920,294,754,128,2257,70,909
"합계",강북구,번3동,127,4823,1,4,126,4819,1,4,-,-,1,4,1,1,-,-,-,-,1,1,125,4818,16,48,46,3840,63,930
"합계",강북구,수유1동,986,5667,6,486,980,5181,2,180,-,-,2,180,5,340,-,-,4,306,1,34,979,5147,412,812,389,2982,178,1353
"합계",강북구,수유2동,809,7040,3,392,806,6648,2,330,-,-,2,330,1,62,-,-,1,62,-,-,806,6648,311,728,327,5053,168,867
"합계",강북구,수유3동,1312,7223,4,369,1308,6854,3,332,-,-,3,332,5,89,-,-,1,37,4,52,1304,6802,680,1376,349,3188,275,2238
"합계",강북구,삼양동,673,6749,7,421,666,6328,1,82,-,-,1,82,6,339,-,-,6,339,-,-,666,6328,244,491,308,4961,114,876
"합계",강북구,미아동,951,7270,3,478,948,6792,2,323,1,16,1,307,1,155,-,-,1,155,-,-,948,6792,515,1017,256,2730,177,3045
"합계",강북구,송중동,1089,9390,6,484,1083,8906,2,304,-,-,2,304,7,256,-,-,4,180,3,76,1080,8830,662,1340,199,4978,219,2512
"합계",강북구,송천동,967,6387,5,553,962,5834,3,391,-,-,3,391,8,274,-,-,2,162,6,112,956,5722,525,949,221,2995,210,1778
"합계",강북구,삼각산동,46,12860,1,28,45,12832,1,28,-,-,1,28,2,36,-,-,-,-,2,36,43,12796,10,18,7,12443,26,335
"합계",강북구,우이동,1111,6489,4,542,1107,5947,2,302,-,-,2,302,5,384,-,-,2,240,3,144,1104,5803,492,1100,456,3964,156,739
"합계",강북구,인수동,1604,9204,4,582,1600,8622,2,389,-,-,2,389,2,193,-,-,2,193,-,-,1600,8622,746,1702,635,5297,219,1623
"합계",도봉구,소계,9720,111916,475,5468,9245,106448,421,2983,-,-,421,2983,73,3000,3,594,51,1891,19,515,9226,105933,4206,8439,3070,72750,1950,24744
"합계",도봉구,쌍문1동,881,7633,42,486,839,7147,38,425,-,-,38,425,4,61,-,-,4,61,-,-,839,7147,342,775,379,4736,118,1636
"합계",도봉구,쌍문2동,773,6100,51,343,722,5757,46,208,-,-,46,208,6,179,-,-,5,135,1,44,721,5713,276,560,293,3817,152,1336
"합계",도봉구,쌍문3동,823,5390,29,201,794,5189,26,146,-,-,26,146,5,96,-,-,3,55,2,41,792,5148,401,684,248,3303,143,1161
"합계",도봉구,쌍문4동,165,4680,21,175,144,4505,19,146,-,-,19,146,3,49,-,-,2,29,1,20,143,4485,42,86,77,3960,24,439
"합계",도봉구,방학1동,1199,13955,68,435,1131,13520,66,408,-,-,66,408,2,27,-,-,2,27,-,-,1131,13520,554,1086,269,7775,308,4659
"합계",도봉구,방학2동,1282,5696,59,477,1223,5219,52,236,-,-,52,236,8,248,-,-,7,241,1,7,1222,5212,690,1392,387,3113,145,707
"합계",도봉구,방학3동,147,6864,7,105,140,6759,5,79,-,-,5,79,4,58,-,-,2,26,2,32,138,6727,20,58,49,5958,69,711
"합계",도봉구,창1동,396,6763,17,200,379,6563,15,87,-,-,15,87,2,113,-,-,2,113,-,-,379,6563,174,316,117,5139,88,1108
"합계",도봉구,창2동,1050,10221,36,352,1014,9869,32,221,-,-,32,221,5,145,-,-,4,131,1,14,1013,9855,301,649,477,6660,235,2546
