단속해당동,단속장소,차량번호,단속등록일
방화2동,21_01_08,79****8, 2021-10-26 08:21 AM
등촌1동,2_35,25****0, 2021-10-26 08:21 AM
화곡본동,5_37,47****3, 2021-10-26 08:34 AM
화곡1동,6_46,27****2, 2021-10-26 08:36 AM
화곡본동,5_27,11****46, 2021-10-26 08:40 AM
화곡본동,5_15,82****4, 2021-10-26 08:45 AM
화곡본동,5_15,46****0, 2021-10-26 08:47 AM
방화2동,21_34,15****88, 2021-10-26 08:47 AM
방화2동,21_91,08****4, 2021-10-26 08:52 AM
공항동,19_79_10,20****6, 2021-10-26 09:06 AM
화곡2동,7_68,82****3, 2021-10-26 09:09 AM
공항동,19_67_08,95****0, 2021-10-26 09:10 AM
가양2동,15_04,40****6, 2021-10-26 09:15 AM
화곡6동,11_27,83****0, 2021-10-26 09:15 AM
가양2동,15_04,40****6, 2021-10-26 09:17 AM
화곡6동,11_21,24****68, 2021-10-26 09:18 AM
화곡6동,11_25,32****4, 2021-10-26 09:21 AM
화곡4동,9_81,11****6, 2021-10-26 09:22 AM
방화1동,20_56_05,85****2, 2021-10-26 09:36 AM
화곡6동,11_79,92****6, 2021-10-26 09:37 AM
방화1동,20_55_102,62****7, 2021-10-26 09:38 AM
화곡4동,9_19,57****0, 2021-10-26 09:41 AM
화곡4동,9_16,11****0, 2021-10-26 09:44 AM
화곡4동,9_15,10****78, 2021-10-26 09:48 AM
우장산동,18_22,15****11, 2021-10-26 09:51 AM
방화1동,20_32,17****85, 2021-10-26 09:51 AM
우장산동,18_14,61****8, 2021-10-26 09:54 AM
등촌1동,2_06,85****2, 2021-10-26 10:01 AM
발산1동,17_45,83****1, 2021-10-26 10:06 AM
발산1동,17_37,58****2, 2021-10-26 10:15 AM
등촌2동,3_53,57****9, 2021-10-26 10:16 AM
염창동,1_34,14****2, 2021-10-26 10:16 AM
발산1동,17_26,12****0, 2021-10-26 10:17 AM
염창동,1_22,40****3, 2021-10-26 10:20 AM
발산1동,17_16,35****5, 2021-10-26 10:21 AM
등촌2동,3_41,11****4, 2021-10-26 10:23 AM
등촌1동,2_33,86****3, 2021-10-26 10:25 AM
발산1동,17_30,91****2, 2021-10-26 10:25 AM
염창동,1_44,20****0, 2021-10-26 10:27 AM
발산1동,17_35_116,60****3, 2021-10-26 10:28 AM
등촌2동,3_44,15****30, 2021-10-26 10:32 AM
화곡3동,8_25,32****8, 2021-10-26 10:37 AM
화곡3동,8_25,27****9, 2021-10-26 10:37 AM
등촌3동,4_09,37****24, 2021-10-26 10:41 AM
화곡3동,8_30,62****5, 2021-10-26 10:41 AM
등촌3동,4_06,18****56, 2021-10-26 10:44 AM
화곡6동,11_44,33****19, 2021-10-26 10:53 AM
방화2동,21_39,82****5, 2021-10-26 11:00 AM
방화1동,20_07_102,61****1, 2021-10-26 11:08 AM
방화1동,20_40_101,29****6, 2021-10-26 11:20 AM
방화1동,20_70,15****90, 2021-10-26 11:27 AM
등촌1동,2_06,86****1, 2021-10-26 11:34 AM
방화3동,22_13,18****92, 2021-10-26 11:34 AM
화곡6동,11_66,서울****146, 2021-10-26 11:36 AM
화곡1동,12_18,서울****709, 2021-10-26 11:36 AM
등촌1동,2_10,17****45, 2021-10-26 11:36 AM
방화3동,22_10_26,21****1, 2021-10-26 11:37 AM
화곡6동,11_68,23****45, 2021-10-26 11:37 AM
방화3동,22_10_17,90****2, 2021-10-26 11:38 AM
화곡6동,11_68,41****2, 2021-10-26 11:38 AM
등촌1동,2_08,14****8, 2021-10-26 11:38 AM
화곡1동,12_14,80****9, 2021-10-26 11:44 AM
방화3동,22_18,14****22, 2021-10-26 11:46 AM
방화3동,22_18,55****7, 2021-10-26 11:46 AM
방화3동,22_18,14****82, 2021-10-26 11:47 AM
방화3동,22_18,53****1, 2021-10-26 11:48 AM
방화1동,20_39_06,39****76, 2021-10-26 01:18 PM
화곡6동,11_61,49****6, 2021-10-26 01:22 PM
등촌1동,2_06,32****19, 2021-10-26 01:27 PM
화곡1동,12_14,40****0, 2021-10-26 01:28 PM
방화1동,20_68,23****5, 2021-10-26 01:30 PM
등촌1동,2_06,40****6, 2021-10-26 01:31 PM
화곡6동,11_79,38****3, 2021-10-26 01:32 PM
방화3동,22_18,60****2, 2021-10-26 01:36 PM
방화3동,22_18,23****0, 2021-10-26 01:38 PM
방화3동,22_18,83****1, 2021-10-26 01:39 PM
우장산동,10_29,43****0, 2021-10-26 01:39 PM
화곡1동,6_42,61****9, 2021-10-26 01:44 PM
방화3동,22_29,18****6, 2021-10-26 01:44 PM
화곡3동,8_16,19****3, 2021-10-26 01:46 PM
화곡1동,6_46,10****1, 2021-10-26 01:47 PM
화곡1동,6_46,15****84, 2021-10-26 01:48 PM
화곡3동,8_42,37****82, 2021-10-26 01:51 PM
염창동,1_38,18****1, 2021-10-26 01:58 PM
방화2동,21_01_08,18****0, 2021-10-26 01:58 PM
화곡2동,7_68,82****3, 2021-10-26 01:59 PM
방화2동,21_05_06,48****4, 2021-10-26 02:00 PM
방화2동,21_07_07,38****8, 2021-10-26 02:02 PM
발산1동,17_36,87****6, 2021-10-26 02:02 PM
화곡4동,9_78,15****67, 2021-10-26 02:03 PM
염창동,1_34,53****4, 2021-10-26 02:04 PM
발산1동,17_15,05****1, 2021-10-26 02:05 PM
발산1동,17_09,17****16, 2021-10-26 02:07 PM
화곡4동,9_81,97****3, 2021-10-26 02:09 PM
방화2동,21_40,32****1, 2021-10-26 02:14 PM
방화2동,21_40,11****7, 2021-10-26 02:14 PM
우장산동,18_35,34****8, 2021-10-26 02:15 PM
방화2동,21_40,17****94, 2021-10-26 02:15 PM
화곡4동,9_19,57****0, 2021-10-26 02:17 PM
우장산동,18_40,31****2, 2021-10-26 02:17 PM
화곡2동,7_10,70****8, 2021-10-26 02:20 PM
화곡4동,9_15,07****3, 2021-10-26 02:24 PM
화곡본동,5_23,04****9, 2021-10-26 02:30 PM
화곡6동,11_38,82****4, 2021-10-26 02:33 PM
등촌2동,3_53,84****5, 2021-10-26 02:33 PM
가양1동,14_12,06****9, 2021-10-26 02:36 PM
화곡6동,11_21,24****68, 2021-10-26 02:37 PM
가양1동,14_12,53****9, 2021-10-26 02:37 PM
화곡6동,11_20,서울****765, 2021-10-26 02:38 PM
등촌2동,3_05,12****39, 2021-10-26 02:42 PM
공항동,19_79,33****3, 2021-10-26 02:43 PM
공항동,19_79_10,20****6, 2021-10-26 02:44 PM
화곡6동,11_61,20****1, 2021-10-26 03:28 PM
화곡6동,11_60,19****1, 2021-10-26 03:30 PM
등촌1동,2_06,16****49, 2021-10-26 03:30 PM
화곡6동,11_60,47****3, 2021-10-26 03:32 PM
등촌1동,2_33,34****9, 2021-10-26 03:41 PM
등촌1동,2_34,33****82, 2021-10-26 03:45 PM
화곡1동,6_46,07****7, 2021-10-26 03:46 PM
화곡1동,6_46,15****1, 2021-10-26 03:47 PM
화곡8동,13_50,45****7, 2021-10-26 03:53 PM
우장산동,18_40,68****6, 2021-10-26 03:54 PM
화곡2동,7_55,67****7, 2021-10-26 03:56 PM
방화3동,22_13,18****92, 2021-10-26 03:57 PM
화곡4동,9_79,81****2, 2021-10-26 04:07 PM
발산1동,17_09,23****0, 2021-10-26 04:08 PM
염창동,1_39,25****5, 2021-10-26 04:10 PM
화곡4동,9_45,39****50, 2021-10-26 04:12 PM
화곡4동,9_31,48****8, 2021-10-26 04:15 PM
화곡2동,7_11,36****1, 2021-10-26 04:19 PM
등촌3동,4_09,30****99, 2021-10-26 04:29 PM
화곡3동,8_22,10****1, 2021-10-26 04:32 PM
등촌3동,4_08,68****7, 2021-10-26 04:32 PM
방화2동,21_39,84****2, 2021-10-26 04:34 PM
화곡3동,8_18,11****55, 2021-10-26 04:37 PM
화곡3동,8_18,68****4, 2021-10-26 04:37 PM
등촌3동,4_02,45****9, 2021-10-26 04:40 PM
화곡8동,13_16,31****05, 2021-10-26 04:43 PM
방화2동,21_91,08****4, 2021-10-26 04:44 PM
화곡8동,13_26,63****4, 2021-10-26 04:52 PM
공항동,19_19,55****4, 2021-10-26 04:56 PM
공항동,19_19,16****8, 2021-10-26 04:59 PM
가양2동,15_11,24****6, 2021-10-26 05:00 PM
공항동,19_80,48****5, 2021-10-26 05:05 PM
화곡1동,6_60,97****0, 2021-10-26 05:06 PM
공항동,19_20,19****2, 2021-10-26 05:07 PM
화곡1동,6_50,28****5, 2021-10-26 05:15 PM
화곡1동,6_50,55****3, 2021-10-26 05:16 PM
등촌1동,2_06,17****7, 2021-10-26 05:19 PM
등촌1동,2_06,경기****231, 2021-10-26 05:21 PM
염창동,1_48,73****5, 2021-10-26 05:35 PM
염창동,1_44,32****1, 2021-10-26 05:38 PM
화곡1동,12_16,11****4, 2021-10-26 07:25 PM
방화1동,20_85,37****1, 2021-10-26 07:27 PM
화곡6동,11_68,62****0, 2021-10-26 07:27 PM
화곡6동,11_68,11****6, 2021-10-26 07:28 PM
방화1동,20_68,38****66, 2021-10-26 07:32 PM
화곡1동,6_63,49****6, 2021-10-26 07:35 PM
화곡1동,6_63,09****9, 2021-10-26 07:35 PM
화곡6동,11_79,68****2, 2021-10-26 07:36 PM
화곡1동,6_63,49****9, 2021-10-26 07:37 PM
화곡1동,6_63,82****3, 2021-10-26 07:39 PM
화곡1동,6_63,39****6, 2021-10-26 07:42 PM
방화3동,22_29,14****29, 2021-10-26 07:43 PM
화곡1동,6_63,37****3, 2021-10-26 07:44 PM
우장산동,10_29,22****42, 2021-10-26 07:44 PM
방화3동,22_29,01****8, 2021-10-26 07:45 PM
화곡1동,6_42,27****3, 2021-10-26 07:57 PM
화곡1동,6_42,39****8, 2021-10-26 07:59 PM
화곡1동,6_46,16****43, 2021-10-26 08:06 PM
화곡1동,6_46,38****1, 2021-10-26 08:08 PM
우장산동,18_35,서울****460, 2021-10-26 08:11 PM
등촌1동,2_10,06****7, 2021-10-26 08:17 PM
등촌1동,2_34,56****3, 2021-10-26 08:27 PM
화곡6동,11_44,59****6, 2021-10-26 08:29 PM
화곡4동,9_31,40****4, 2021-10-26 08:41 PM
화곡6동,11_21,24****68, 2021-10-26 08:41 PM
화곡2동,7_11,43****2, 2021-10-26 08:44 PM
공항동,19_29,14****4, 2021-10-26 08:44 PM
화곡6동,11_33,18****2, 2021-10-26 08:48 PM
공항동,19_49,22****19, 2021-10-26 08:50 PM
공항동,19_06,24****7, 2021-10-26 09:03 PM
등촌3동,4_02,50****5, 2021-10-26 09:05 PM
화곡본동,5_55,25****86, 2021-10-26 09:09 PM
화곡6동,11_37,서울****070, 2021-10-27 04:24 AM
화곡6동,11_11,03****5, 2021-10-27 07:44 AM
등촌1동,2_30,45****7, 2021-10-27 07:45 AM
화곡6동,11_61,97****8, 2021-10-27 07:48 AM
등촌1동,2_33,38****85, 2021-10-27 07:49 AM
염창동,1_35,14****72, 2021-10-27 07:55 AM
화곡6동,11_79,27****69, 2021-10-27 07:56 AM
우장산동,10_05,86****3, 2021-10-27 08:01 AM
화곡3동,8_18,84****0, 2021-10-27 08:11 AM
화곡3동,8_38,38****9, 2021-10-27 08:15 AM
화곡3동,8_40,32****45, 2021-10-27 08:17 AM
화곡1동,6_42,80****9, 2021-10-27 08:17 AM
화곡3동,8_33,86****9, 2021-10-27 08:20 AM
가양1동,14_18,14****45, 2021-10-27 08:22 AM
