거래일자,법정동,도로명,아파트,층,전용면적,건축년도,거래금액
2019-11-20,신내동,봉화산로56길,중앙하이츠,9,84.97,1996,46800
2019-11-21,신내동,신내로,성원,7,84.32,1994,49850
2019-11-21,신내동,봉화산로56길,중앙하이츠,13,84.97,1996,47000
2019-11-23,신내동,용마산로,데시앙,11,59.99,2010,57500
2019-11-23,신내동,신내로,성원,14,84.32,1994,51800
2019-11-26,신내동,용마산로129가길,영풍마드레빌,8,84.8485,2004,55000
2019-11-28,신내동,봉화산로56길,중앙하이츠,6,84.97,1996,42600
2019-11-30,신내동,신내역로,신내 데시앙포레,13,84.94,2013,62000
2019-12-03,면목동,답십리로75길,경남아너스빌,4,84.961,2006,62000
2019-12-04,면목동,용마산로86길,면목동2차미소지움아파트,4,81.96,2005,45500
2019-12-04,면목동,답십리로75길,경남아너스빌,14,84.961,2006,64900
2019-12-10,면목동,용마산로,현대,3,84.81,1994,53900
2019-12-16,면목동,사가정로,킴스타워,7,30.04,2019,29600
2019-12-16,면목동,사가정로,킴스타워,12,32.24,2019,31650
2019-12-16,면목동,사가정로,킴스타워,12,33.01,2019,32200
2019-12-16,면목동,사가정로,킴스타워,6,30.04,2019,29600
2019-12-16,면목동,사가정로,킴스타워,6,30.61,2019,29900
2019-12-16,면목동,사가정로,킴스타워,6,32.24,2019,31350
2019-12-16,면목동,사가정로,킴스타워,6,33.01,2019,31900
2019-12-16,면목동,사가정로,킴스타워,8,32.24,2019,31350
2019-12-16,면목동,사가정로,킴스타워,7,30.61,2019,29900
2019-12-16,면목동,사가정로,킴스타워,7,32.24,2019,31350
2019-12-16,면목동,사가정로,킴스타워,7,33.01,2019,31900
2019-12-16,면목동,사가정로,킴스타워,8,30.04,2019,29600
2019-12-16,면목동,사가정로,킴스타워,8,30.61,2019,29900
2019-12-16,면목동,사가정로,킴스타워,8,33.01,2019,31900
2019-12-16,면목동,사가정로,킴스타워,9,30.04,2019,29750
2019-12-16,면목동,사가정로,킴스타워,9,30.61,2019,30050
2019-12-16,면목동,사가정로,킴스타워,9,32.24,2019,31500
2019-12-16,면목동,사가정로,킴스타워,9,33.01,2019,32050
2019-12-16,면목동,사가정로,킴스타워,10,30.04,2019,29750
2019-12-16,면목동,사가정로,킴스타워,10,30.61,2019,30050
2019-12-16,면목동,사가정로,킴스타워,10,32.24,2019,31500
2019-12-16,면목동,사가정로,킴스타워,10,33.01,2019,32050
2019-12-16,면목동,사가정로,킴스타워,12,30.04,2019,29900
2019-12-16,면목동,사가정로,킴스타워,11,30.04,2019,29900
2019-12-16,면목동,사가정로,킴스타워,11,30.61,2019,30200
2019-12-16,면목동,사가정로,킴스타워,11,32.24,2019,31650
2019-12-16,면목동,사가정로,킴스타워,11,33.01,2019,32200
2019-12-16,면목동,사가정로,킴스타워,12,30.61,2019,30200
2019-12-17,면목동,봉우재로20가길,IS아파트,8,84.84,2012,41000
2019-12-18,면목동,용마산로,현대,15,74.79,1994,51300
2019-12-19,면목동,면목로,삼일,4,54.09,1994,23000
2019-12-20,면목동,용마산로,현대,18,72.63,1994,54800
2019-12-20,면목동,중랑천로,신성,10,103.11,1998,51500
2019-12-24,면목동,용마산로,현대,1,84.09,1994,45500
2019-12-24,면목동,답십리로75길,경남아너스빌,13,84.961,2006,66000
2019-12-24,면목동,용마산로,현대,14,72.63,1994,53500
2019-12-25,면목동,용마산로,현대,4,74.79,1994,48000
2019-12-26,면목동,답십리로75길,경남아너스빌,5,84.961,2006,65500
2019-12-26,면목동,용마산로86길,면목동2차미소지움아파트,3,82.28,2005,45500
2019-12-31,면목동,봉우재로6길,솔루테아파트,3,82.811,2001,40800
2019-12-31,면목동,중랑천로,신성,9,84.98,1998,47800
2019-12-03,상봉동,상봉중앙로8길,건영캐스빌,14,84.6475,2006,70900
2019-12-06,상봉동,신내로7가길,동부아파트,6,84.99,1999,54500
2019-12-07,상봉동,상봉중앙로8길,건영캐스빌,7,84.6475,2006,69000
2019-12-10,상봉동,신내로7나길,건영2차아파트,6,84.96,1996,59000
2019-12-11,상봉동,신내로7나길,건영2차아파트,14,74.9,1996,56000
2019-12-11,상봉동,신내로7나길,건영2차아파트,11,84.96,1996,60900
